Metric,Value
design_powergrid__drop__worst__net:VPWR,0.00000224646
design_powergrid__voltage__worst__net:VGND,0.00000302642
design_powergrid__drop__worst__net:VGND,0.00000302642
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,3.929999999999999853923814997769259349524872959591448307037353515625E-7
ir__drop__worst,0.00000225000000000000005700192921842539561794183100573718547821044921875
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
