Metric,Value
design_powergrid__voltage__worst__net:VPWR,1.19998
design_powergrid__drop__worst,0.0000190156
design_powergrid__drop__worst__net:VPWR,0.000016762
design_powergrid__voltage__worst__net:VGND,0.0000190156
design_powergrid__drop__worst__net:VGND,0.0000190156
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,7.40999999999999978115053887728347348229362978599965572357177734375E-7
ir__drop__worst,0.00001679999999999999839273533142058880684999166987836360931396484375
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
