Metric,Value
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.00000525899
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.0000595028
design_powergrid__voltage__worst,0.0000595028
design_powergrid__voltage__worst__net:VPWR,1.19995
design_powergrid__drop__worst,0.0000595028
design_powergrid__drop__worst__net:VPWR,0.0000533648
design_powergrid__voltage__worst__net:VGND,0.0000595028
design_powergrid__drop__worst__net:VGND,0.0000595028
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.00000531999999999999988631489700185994706771452911198139190673828125
ir__drop__worst,0.000053399999999999996948274461061600959510542452335357666015625
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
