Metric,Value
design_powergrid__voltage__worst__net:VPWR,1.19999
design_powergrid__drop__worst,0.0000122125
design_powergrid__drop__worst__net:VPWR,0.0000122125
design_powergrid__voltage__worst__net:VGND,0.0000113797
design_powergrid__drop__worst__net:VGND,0.0000113797
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,6.23000000000000006748182741767028147705786977894604206085205078125E-7
ir__drop__worst,0.000012200000000000000083201674716537610265731927938759326934814453125
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
